FID	UMAP1	UMAP2
BurkinaFaso_Fulani_Ziniare:FZR17	-5.257824738	11.29727412
BurkinaFaso_Fulani_Ziniare:FZR18	-5.858007518	12.53079293
BurkinaFaso_Fulani_Ziniare:FZR19	-5.52901912	12.39337576
BurkinaFaso_Fulani_Ziniare:FZR20	-4.444087793	8.622235691
BurkinaFaso_Fulani_Ziniare:FZR21	-4.950862602	12.87522158
BurkinaFaso_Fulani_Ziniare:FZR22	-4.62115173	11.08193469
BurkinaFaso_Fulani_Ziniare:FZR23	-5.758382514	12.90465807
BurkinaFaso_Fulani_Ziniare:FZR24	-4.595932358	11.57462161
BurkinaFaso_Fulani_Ziniare:FZR25	-7.506366995	5.258475566
BurkinaFaso_Fulani_Ziniare:FZR26	-5.487080838	7.253046184
BurkinaFaso_Fulani_Ziniare:FZR27	-4.476262932	7.93470968
BurkinaFaso_Fulani_Ziniare:FZR28	-5.893490881	8.403742517
BurkinaFaso_Fulani_Ziniare:FZR29	-6.441364191	6.309055276
BurkinaFaso_Fulani_Ziniare:FZR30	-5.27398484	8.116254901
BurkinaFaso_Fulani_Ziniare:FZR31	-7.489305922	5.466356833
BurkinaFaso_Fulani_Ziniare:FZR32	-5.125254997	8.676161263
BurkinaFaso_Fulani_Ziniare:FZR33	-6.479998601	6.319823724
BurkinaFaso_Fulani_Ziniare:FZR34	-5.160847696	9.389682267
BurkinaFaso_Fulani_Ziniare:FZR35	-6.649642242	6.58750015
BurkinaFaso_Fulani_Ziniare:FZR37	-5.102767266	7.61267004
BurkinaFaso_Fulani_Ziniare:FZR38	-5.222345198	8.547898444
BurkinaFaso_Fulani_Ziniare:FZR39	-4.230116114	8.133547152
BurkinaFaso_Fulani_Ziniare:FZR40	-5.950864901	6.934340382
BurkinaFaso_Fulani_Ziniare:FZR41	-5.629294259	7.245363041
BurkinaFaso_Fulani_Ziniare:FZR42	-6.596006611	6.098938215
BurkinaFaso_Fulani_Ziniare:FZR43	-5.34851731	8.558813116
BurkinaFaso_Fulani_Ziniare:FZR44	-5.250063167	7.024532381
BurkinaFaso_Fulani_Ziniare:FZR45	-6.403402711	6.119540616
BurkinaFaso_Fulani_Ziniare:FZR46	-4.973357537	8.078349628
BurkinaFaso_Fulani_Ziniare:FZR47	-5.027492268	6.881302467
BurkinaFaso_Fulani_Ziniare:FZR48	-4.885554194	7.990036496
BurkinaFaso_Fulani_Ziniare:FZR49	-5.285621503	6.872831728
BurkinaFaso_Fulani_Ziniare:FZR50	-5.573017585	7.105460672
BurkinaFaso_Fulani_Ziniare:FZR51	-5.538055784	7.038848463
